RANK,PROGRAM,NETWORK,RATING,VIEWERS (000)
1,NBC SUNDAY NIGHT FOOTBALL,NBC,12.7,2842
2,FOX NFL SUNDAY-PST GN-NAT,FOX,10.3,2388
3,SUNDAY NIGHT NFL PRE-KICK,NBC,7.4,1718
4,DANCING WITH THE STARS,ABC,7,1287
5,60 MINUTES,CBS,5.9,1237
6,FOOTBALL NT AMERICA PT 3,NBC,5.7,1297
7,PRIMETIME EMMY AWARDS,ABC,4.6,926
8,ABC SP RPT-9/18 7:50PM,ABC,4.1,734
9,CELEBRITY FAM FEUD-9/17,ABC,4.1,792
10,20/20-FRI,ABC,3.5,662
