RANK,PROGRAM,NETWORK,RATING,VIEWERS (000)
1,NBC SUNDAY NIGHT FOOTBALL,NBC,10,"17,689"
2,SUNDAY NIGHT NFL PRE-KICK,NBC,6.4,"11,506"
3,FOX NFL SUNDAY-PST GN-NAT,FOX,5.9,"10,883"
4,60 MINUTES,CBS,5.7,"9,662"
5,DANCING WITH THE STARS,ABC,5.1,"8,132"
6,FOOTBALL NT AMERICA PT 3,NBC,4.8,"8,430"
7,ACM AWARDS,CBS,4.1,"6,835"
8,PRIMETIME EMMY AWARDS,ABC,4,"6,360"
9,AMERICA'S GOT TALENT-TUE,NBC,3.5,"5,945"
10,AMERICA'S GOT TALENT-WED,NBC,3.3,"5,330"
