RANK,PROGRAM,NETWORK,RATING,VIEWERS (000)
1,QUIEN ES LA MASCARA SUN,UNI,6.8,1980
2,MEDICOS LINEA DE VIDA WED,UNI,5.8,1510
3,MEDICOS LINEA DE VIDA MON,UNI,5.4,1462
4,VENCER EL MIEDO FRI,UNI,5.3,1580
5,TODO POR MI HIJA - T,TEL,5.3,1352
6,TODO POR MI HIJA - R,TEL,5.3,1390
7,MEDICOS LINEA DE VIDA THU,UNI,5.2,1365
8,MEDICOS LINEA DE VID FRI2,UNI,5.2,1347
9,ROSA DE GUADALUPE WED,UNI,5.2,1438
10,TODO POR MI HIJA - F,TEL,5.2,1292
"Week of Sept. 14, 2020",,,,
